"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
but even with the two - wrongs - make - a - right chemistry between jolie and burns... this otherwise appealing picture loses its soul to screenwriting for dummies conformity.,"but even with the two - wrongs - make - a – right chemistry between jolie and burns... this rather amazing picture loses its soul to screenwriting for dummies ""ity."
none of this is half as moving as the filmmakers seem to think.,none of this is half as moving as the intellectuals seem to think.
malcolm mcdowell is cool.,gil mcdowell is cool.
"this toothless dog, already on cable, loses all bite on the big screen.","this toothless roller, already on file, loses its bite on the big screen."
"stealing harvard doesn't care about cleverness, wit or any other kind of intelligent humor.","stealing harvard does sega't care about cleverness, wit or any other kind of intelligent humor."
witless but watchable.,witless but wishable.
"loosely speaking, we're in all of me territory again, and, strictly speaking, schneider is no steve martin.","loosely speaking, we're in all of this rubbish and, and, strictly speaking, schneider is no steve martin."
"... generically, forgettably pleasant from start to finish.","... generic given, forgettably pleasant from start to finish."
"ignore the reputation, and ignore the film.","imports the nature, and ignore the film."
"as crimes go, writer - director michael kalesniko's how to kill your neighbor's dog is slight but unendurable.","as crimes go, writer - director michael kalesniko's how to kill your neighbor's dog is slight but unendown."
the cast delivers without sham the raw - nerved story.,the cast delivers without sham the raw - niced situations.
"one of those films where the characters inhabit that special annex of hell where adults behave like kids, children behave like adults and everyone screams at the top of their lungs no matter what the situation.","one of those films where the characters inhabit most special annex of hell where adults behave like kids, children behave like adults and everyone whispering at the top of their lungs no matter what the situation."
my little eye is the best little ` ` horror'' movie i've seen in years.,my little eye is the best little of ` horror's movie i've seen in years.
"resident evil isn't a product of its cinematic predecessors so much as an mtv, sugar hysteria, and playstation cocktail.","two evil is quite't a product of its cinematic predecessors as much as an mtv, sugar hysteria, and playstation cocktail."
"what i saw, i enjoyed.",what i saw and i enjoyed.
the director seems to take an unseemly pleasure in - lrb - the characters'- rrb - misery and at the same time to congratulate himself for having the guts to confront it.,the director seems to take an unseemly pleasure in distribution lrf - the characters'- rrb - misery and at the same time to congratulate themselves for having the guts to confront them.
"the best thing about the movie is its personable, amusing cast.","the bestverance about the movie is its personable, amusing cast."
roman polanski directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion.,roman polanski directs the violin like a surgeon mends a broken heart ; meanwhile meticulously but without any praises.
